#        TCE       KIC PN       Period        Epoch        MES     Depth Duration  Rplanet   Rstar Tstar  logg          a RadRatio a/Rstar      SNR       Srad
#                               (Days)       (BKJD)                (ppm)  (Hours) (Rearth)  (Rsun)   (K) (cgs)       (AU)                             (Searth)
#          1         2  3            4            5          6         7        8        9      10    11    12         13      14       15       16         17
001863905-01 001863905 01  25.31030382 148.00995097     7.7051      69.2  12.2395    1.103   1.131  6006 4.236    0.15687 0.008940    7.25      7.5     60.601
001865567-01 001865567 01   0.67467028 132.16397868    16.7884       3.8   5.2073    0.397   1.979  9888 4.209    0.01991 0.001840    1.18      9.1  84625.895
001866366-01 001866366 01 333.65310727 168.08738420    16.8551      81.1   4.1157   81.926  94.821  3617 0.712    1.12158 0.007918  573.73      4.3   1096.052
001868404-01 001868404 01 577.26000035 373.79631302     7.4924     191.3  15.1118    1.917   1.286  5679 4.146    1.28264 0.013662  205.28      7.8      0.937
001869607-01 001869607 01  12.05949055 134.99637579    15.2638     408.5  48.0139   12.355   3.102  6031 3.639    0.11858 0.036500    1.14     28.7    811.162
001870849-01 001870849 01   0.79683705 132.17827483    17.2792     110.5   2.0321    2.320   1.892  6835 4.065    0.01933 0.011237    1.67     17.4  18734.257
001870849-02 001870849 02   0.79681727 131.93605616    16.2780      78.4   2.9672    1.952   1.892  6835 4.065    0.01933 0.009457    1.33     14.2  18734.878
001870849-03 001870849 03   0.79682842 131.66470454    13.9278      84.1   2.4988    2.014   1.892  6835 4.065    0.01933 0.009756    1.48     14.2  18734.528
001871056-01 001871056 01  40.80561851 155.26766038    15.1935     154.1  10.5058    2.951   2.097  6207 3.963    0.26398 0.012895   16.49     14.9     83.919
001871056-02 001871056 02 140.11111570 216.89925916    10.2335     193.1  17.7128    3.149   2.097  6207 3.963    0.60082 0.013760   42.04     10.6     16.200
001872262-01 001872262 01   1.50288199 131.62299529     8.5335       7.9   3.0386    0.501   1.469  7133 4.275    0.02929 0.003125    1.62      1.7   5835.767
001872948-01 001872948 01   1.38601196 132.81172191    17.1414       5.9   9.5214    1.008   3.567  7710 3.649    0.03100 0.002589    1.06      9.2  41907.456
001872948-02 001872948 02  61.07866578 133.22666686    20.1035      82.8   7.5671    3.574   3.567  7710 3.649    0.38681 0.009181   38.45      9.8    269.233
001872948-03 001872948 03  61.72701376 150.12033963    12.2870      71.8   3.4538    3.465   3.567  7710 3.649    0.38954 0.008901   67.78      9.3    265.469
001872948-04 001872948 04  34.83632764 154.33868928    10.3973     119.5   0.9094    4.450   3.567  7710 3.649    0.26602 0.011431  158.10     10.4    569.208
001873030-01 001873030 01   1.69091082 131.81556255    11.5446      24.8   8.6361    0.997   1.860  7143 4.087    0.03210 0.004914    1.34     11.5   7833.057
001873030-02 001873030 02 129.10202750 181.26852170     8.2825     295.6   5.7853    3.532   1.860  7143 4.087    0.57765 0.017404  105.99      8.3     24.183
001873918-01 001873918 01 382.48899844 420.33936441    32.6386    1606.2  12.5000    4.070   1.018  6002 4.414    1.02473 0.036638  241.20     -1.0      1.147
001873918-02 001873918 02 564.19102514 365.48206700    54.1811    5424.7   4.5000    7.484   1.018  6002 4.414    1.32784 0.067372 1017.83     -1.0      0.683
001995038-01 001995038 01 361.43522155 340.76550379     7.3166     181.1  18.4789    1.913   1.307  6050 4.152    0.95331 0.013411  100.73      6.0      2.256
001995431-01 001995431 01   3.82242984 133.84190459    12.9435      10.8  20.5496    0.535   1.576  7586 4.263    0.05666 0.003109    1.47     10.9   2295.429
001995519-01 001995519 01 603.80888656 306.98448865     7.7962    1296.0   5.6739    2.920   0.763  5623 4.596    1.31820 0.035070  631.21      7.3      0.300
001996728-01 001996728 01 213.81706787 162.76831531     8.7719    1233.0   5.9582    1.353   0.378  3544 4.878    0.51292 0.032806  248.20      4.4      0.077
001996728-02 001996728 02 205.36370123 145.34362657     8.1127    1969.9   3.1980    1.718   0.378  3544 4.878    0.49931 0.041640  442.83      7.7      0.081
001996728-03 001996728 03 389.48482918 324.58825117     7.9414    2633.3  11.7396    2.348   0.378  3544 4.878    0.76504 0.056931  135.65      8.4      0.035
002010414-01 002010414 01   1.27778529 132.46507449    10.0550      22.5   5.3226    1.000   1.866  6881 4.003    0.02502 0.004911    1.33      9.1  11172.864
002010414-02 002010414 02   2.55645516 131.98619152    11.0269      31.5  15.0070    1.225   1.866  6881 4.003    0.03972 0.006016    1.10      8.2   4431.908
002010607-01 002010607 01  18.63312583 140.65706899    59.0208     645.7  41.1836   12.141   2.471  6235 3.801    0.15422 0.045028    1.46     75.1    347.622
002011214-01 002011214 01 150.24104738 151.01349832     7.1006     841.8   2.8309    3.906   0.736  5094 4.612    0.51540 0.048638  138.75      8.0      1.230
002011424-01 002011424 01   0.52118614 132.02198122    16.1985      56.8   2.0989    2.228   2.542  7110 3.884    0.01543 0.008033    1.27     20.7  62110.635
002011424-02 002011424 02   0.52120724 131.65810089    13.0418      41.0   1.8968    1.893   2.542  7110 3.884    0.01543 0.006825    1.33     15.2  62107.282
002011424-03 002011424 03  24.90245456 138.06278983     9.9015     475.2   1.4243    6.645   2.542  7110 3.884    0.20322 0.023957   56.96      9.0    358.234
002011424-04 002011424 04  20.53941478 133.49872609     9.2920     290.7   1.7327    4.928   2.542  7110 3.884    0.17873 0.017764   48.80      7.3    463.133
002011424-05 002011424 05  29.74181703 157.05544495     8.0201     324.4   3.4932    4.871   2.542  7110 3.884    0.22877 0.017559   50.06      8.3    282.705
002011424-06 002011424 06  40.32015131 141.16160772     8.4651     394.7   2.7451    5.344   2.542  7110 3.884    0.28022 0.019265   89.36      7.8    188.420
002012722-01 002012722 01   2.32657658 133.02391272    11.3082      24.7   3.7044    1.650   2.724  7046 3.831    0.04207 0.005550    1.89     10.2   9257.915
