tce,keep,onEB,onCum,onOther
002442359-01,False,False,True,False
002442359-02,False,False,True,False
002442359-03,False,False,True,False
002442359-04,False,False,True,False
002442359-05,False,False,True,False
002442359-06,False,False,True,False
002442359-07,False,False,True,False
002442448-01,False,False,True,False
002442692-01,True,False,False,False
002442866-01,True,False,False,False
002442866-02,True,False,False,False
002442866-03,True,False,False,False
002442866-04,True,False,False,False
002442866-05,True,False,False,False
002442866-06,True,False,False,False
002442866-07,True,False,False,False
002442866-08,True,False,False,False
002443827-01,True,False,False,False
002443827-02,True,False,False,False
002444412-01,False,False,True,False
002444412-02,False,False,True,False
002444412-03,False,False,True,False
002444412-04,False,False,True,False
002445129-01,False,False,True,False
002445129-02,False,False,True,False
002445134-01,False,True,True,False
002445134-02,False,True,True,False
002445154-01,False,False,True,False
002445154-02,False,False,True,False
002445154-03,False,False,True,False
002445154-04,False,False,True,False
002445154-05,False,False,True,False
002445975-01,False,True,True,False
002445975-02,False,True,True,False
002446113-01,False,False,True,False
002446113-02,False,False,True,False
002446623-01,False,True,True,False
002446623-02,False,True,True,False
002447707-01,True,False,False,False
002447707-02,True,False,False,False
002448113-01,True,False,False,False
002448416-01,True,False,False,False
002448416-02,True,False,False,False
002448505-01,True,False,False,False
002449074-01,False,False,True,False
002449074-02,False,False,True,False
002449090-01,False,True,True,False
002449090-02,False,True,True,False
002449090-03,False,True,True,False
002449431-01,False,False,True,False
002449431-02,False,False,True,False
002449552-01,True,False,False,False
002450944-01,True,False,False,False
002451491-01,True,False,False,False
002452185-01,True,False,False,False
002452440-01,False,True,True,False
002452440-02,False,True,True,False
002452440-03,False,True,True,False
002452450-01,False,False,True,False
002452450-02,False,False,True,False
002452450-03,False,False,True,False
002452450-04,False,False,True,False
002452784-01,True,False,False,False
002452977-01,True,False,False,False
002554867-01,True,False,False,False
002554867-02,True,False,False,False
002554867-03,True,False,False,False
002554867-04,True,False,False,False
002554867-05,True,False,False,False
002554867-06,True,False,False,False
002554867-07,True,False,False,False
002554867-08,True,False,False,False
002554867-09,True,False,False,False
002554867-10,True,False,False,False
002555035-01,True,False,False,False
002557335-01,True,False,False,False
002557555-01,True,False,False,False
002557669-01,True,False,False,False
002557669-02,True,False,False,False
002557669-03,True,False,False,False
002557669-04,True,False,False,False
002557816-01,False,False,True,False
002557816-02,False,False,True,False
002558016-01,True,False,False,False
002558363-01,False,False,True,False
002558370-01,False,True,True,False
002558488-01,True,False,False,False
002558488-02,True,False,False,False
002568519-01,True,False,False,False
002568971-01,False,False,True,False
002568971-02,False,False,True,False
002568971-03,False,False,True,False
002568971-04,False,False,True,False
002568971-05,False,False,True,False
002568971-06,False,False,True,False
002568971-07,False,False,True,False
002569488-01,False,False,True,False
002569488-02,False,False,True,False
002569488-03,False,False,True,False
002569488-04,False,False,True,False
002569488-05,False,False,True,False
002569488-06,False,False,True,False
002569494-01,False,True,True,False
002569995-01,False,False,False,False
002570432-01,False,False,True,False
002570505-01,False,False,True,False
002570505-02,False,False,True,False
002570760-01,True,False,False,False
002570767-01,False,False,True,False
002570773-01,False,False,True,False
002570773-02,False,False,True,False
002571417-01,True,False,False,False
002571417-02,True,False,False,False
002571417-03,True,False,False,False
002571868-01,True,False,False,False
002573056-01,False,False,True,False
002574201-01,False,False,True,False
002574201-02,False,False,True,False
002575964-01,True,False,False,False
002576107-01,False,True,True,False
002576107-02,False,True,True,False
002576197-01,False,False,True,False
002576197-02,False,False,True,False
002576692-01,False,True,True,False
002576692-02,False,True,True,False
002576692-03,False,True,True,False
002576692-04,False,True,True,False
002576692-05,False,True,True,False
002576692-06,False,True,True,False
002578404-01,True,False,False,False
002578404-02,True,False,False,False
002578891-01,True,False,False,False
002578891-02,True,False,False,False
002579043-01,False,False,True,False
002579590-01,True,False,False,False
002580256-01,True,False,False,False
002580872-01,False,True,True,False
002580872-02,False,True,True,False
002581191-01,False,False,True,False
002581457-01,True,False,False,False
002581554-01,False,False,True,False
002581554-02,False,False,True,False
002581554-03,False,False,True,False
002581554-04,False,False,True,False
002581554-05,False,False,True,False
002581554-06,False,False,True,False
002581964-01,True,False,False,False
002581964-02,True,False,False,False
002581964-03,True,False,False,False
002581964-04,True,False,False,False
002581964-05,True,False,False,False
002581964-06,True,False,False,False
002582884-01,True,False,False,False
002583153-01,True,False,False,False
002583153-02,True,False,False,False
002583153-03,True,False,False,False
002583234-01,True,False,False,False
002583234-02,True,False,False,False
002583777-01,False,False,True,False
002585092-01,True,False,False,False
002585092-02,True,False,False,False
002585652-01,True,False,False,False
002692377-01,False,False,True,False
002692377-02,False,False,True,False
002692377-03,False,False,True,False
002692704-01,True,False,False,False
002692704-02,True,False,False,False
002692704-03,True,False,False,False
002692708-01,True,False,False,False
002692708-02,True,False,False,False
002693092-01,False,True,True,False
002693092-02,False,True,True,False
002693092-03,False,True,True,False
002693092-04,False,True,True,False
002693092-05,False,True,True,False
002693092-06,False,True,True,False
002693092-07,False,True,True,False
002693736-01,False,False,True,False
002693736-02,False,False,True,False
002694337-01,True,False,False,False
002694337-02,True,False,False,False
002694337-03,True,False,False,False
002694746-01,True,False,False,False
002694822-01,True,False,False,False
002695030-01,True,False,False,False
002695030-02,True,False,False,False
002695110-01,False,False,True,False
002695110-02,False,False,True,False
002695110-03,False,False,True,False
002695110-04,False,False,True,False
002696217-01,True,False,False,False
002696217-02,True,False,False,False
002696217-03,True,False,False,False
002696217-04,True,False,False,False
002696734-01,True,False,False,False
002696938-01,True,False,False,False
002696938-02,True,False,False,False
002696938-03,True,False,False,False
002696938-04,True,False,False,False
002696938-05,True,False,False,False
002696955-01,True,False,False,False
002697096-01,True,False,False,False
002697169-01,True,False,False,False
002697935-01,False,True,True,False
002698074-01,True,False,False,False
002707097-01,False,False,True,False
002707097-02,False,False,True,False
002707479-01,True,False,False,False
002707479-02,True,False,False,False
002707479-03,True,False,False,False
002707479-04,True,False,False,False
002707479-05,True,False,False,False
002707916-01,False,False,True,False
002707985-01,False,False,True,False
002708152-01,True,False,False,False
002708156-01,False,True,True,False
002708172-01,False,False,True,False
002708176-01,True,False,False,False
002708203-01,False,False,True,False
002708203-02,False,False,True,False
002708221-01,False,False,True,False
002708270-01,False,False,True,False
002708278-01,False,False,True,False
002708278-02,False,False,True,False
002708286-01,False,False,True,False
002708343-01,False,False,True,False
002708343-02,False,False,True,False
002708343-03,False,False,True,False
002708420-01,False,False,True,False
002708614-01,False,True,True,False
002710561-01,True,False,False,False
002711123-01,False,False,True,False
002711123-02,False,False,True,False
002713049-01,False,False,True,False
002713049-02,False,False,True,False
002713086-01,True,False,False,False
002713086-02,True,False,False,False
002713086-03,True,False,False,False
002713086-04,True,False,False,False
002713086-05,True,False,False,False
002713086-06,True,False,False,False
002713086-07,True,False,False,False
002714707-01,True,False,False,False
002714831-01,True,False,False,False
002714887-01,True,False,False,False
002714954-01,True,False,False,False
002714954-02,True,False,False,False
002714954-03,True,False,False,False
002714954-04,True,False,False,False
002715018-01,True,False,False,False
002715070-01,True,False,False,False
002715108-01,True,False,False,False
002715135-01,False,False,True,False
002715135-02,False,False,True,False
002715164-01,True,False,False,False
002716289-01,True,False,False,False
002716853-01,False,False,True,False
002716853-02,False,False,True,False
002717423-01,True,False,False,False
002717423-02,True,False,False,False
002717423-03,True,False,False,False
002717423-04,True,False,False,False
002717483-01,True,False,False,False
002717569-01,True,False,False,False
002718321-01,True,False,False,False
002718630-01,True,False,False,False
002718630-02,True,False,False,False
002718778-01,False,False,True,False
002718778-02,False,False,True,False
002719118-01,True,False,False,False
002719125-01,True,False,False,False
002719755-01,True,False,False,False
002719873-01,False,True,True,False
002719873-02,False,True,True,False
002719873-03,False,True,True,False
002719873-04,False,True,True,False
002719873-05,False,True,True,False
002719873-06,False,True,True,False
002719928-01,True,False,False,False
002719928-02,True,False,False,False
002720016-01,True,False,False,False
002720354-01,False,True,True,False
002720354-02,False,True,True,False
002720354-03,False,True,True,False
002720594-01,True,False,False,False
002720594-02,True,False,False,False
002721030-01,False,False,True,False
002721835-01,True,False,False,False
002721835-02,True,False,False,False
002831091-01,True,False,False,False
002831091-02,True,False,False,False
002831091-03,True,False,False,False
002831101-01,True,False,False,False
002831101-02,True,False,False,False
002831101-03,True,False,False,False
002832589-01,False,False,True,False
002832589-02,False,False,True,False
002832720-01,True,False,False,False
002832753-01,True,False,False,False
002832753-02,True,False,False,False
002832753-03,True,False,False,False
002832753-04,True,False,False,False
002833554-01,True,False,False,False
002833709-01,True,False,False,False
002833709-02,True,False,False,False
002833709-03,True,False,False,False
002833709-04,True,False,False,False
002833709-05,True,False,False,False
