#        TCE       KIC PN       Period        Epoch        MES     Depth Duration  Rplanet   Rstar Tstar  logg          a RadRatio a/Rstar      SNR       Srad
#                               (Days)       (BKJD)                (ppm)  (Hours) (Rearth)  (Rsun)   (K) (cgs)       (AU)                             (Searth)
#          1         2  3            4            5          6         7        8        9      10    11    12         13      14       15       16         17
001434800-03 001434800 03 228.23647619 151.33364219     7.2159     699.6   3.8284    8.239   1.643  6814 4.128    0.80238 0.045956  139.72      8.9      8.099
001435448-01 001435448 01 439.81258411 180.52034585     9.9125    1033.5   7.8453    4.840   1.425  6047 4.173    1.16973 0.031123  340.62      8.8      1.778
001570253-01 001570253 01 693.00737725 190.07946940     7.7468     195.8  11.9349    4.720   3.150  6205 3.578    1.70240 0.013732  323.82      8.8      4.547
001570349-01 001570349 01   0.58152509 131.72484806    10.1344       8.9   2.9093    0.394   1.197  5883 4.293    0.01376 0.003018    1.29      3.0   8126.956
001570924-01 001570924 01 464.30140680 381.91909486    17.0972    1123.3   3.5672    2.560   0.762  4961 4.543    1.06137 0.030786  915.64      4.0      0.280
001570924-02 001570924 02 466.41347568 410.41676055    11.5103    1696.3   4.0267    3.453   0.762  4961 4.543    1.06459 0.041521  623.78      6.4      0.278
001570924-03 001570924 03 523.28033786 141.69987004    11.6507    1861.8  24.2928    3.183   0.762  4961 4.543    1.14945 0.038281  169.84      4.6      0.239
001571511-01 001571511 01  14.01921134 143.79427534  1032.9883     599.9  24.3063    3.086   1.050  6061 4.401    0.11428 0.026933    2.24     47.4    102.070
001571511-02 001571511 02  14.01800180 136.05485287   718.0294     116.5  24.2993    1.258   1.050  6061 4.401    0.11427 0.010982    2.82     11.5    102.082
001571511-03 001571511 03  46.74254155 144.43862611   314.2207   14666.4   7.5000   12.703   1.050  6061 4.401    0.25505 0.110864   52.68     -1.0     20.492
001571717-01 001571717 01   1.68691691 132.09224293     8.2371      13.1   5.9916    0.878   2.134  8302 4.034    0.03372 0.003770    1.43      5.1  17046.293
001572114-01 001572114 01 374.37006393 180.49704832     9.6568    1438.5  15.0000    3.232   0.866  5518 4.511    0.97703 0.034200  196.26     -1.0      0.653
001572114-02 001572114 02 366.60587342 442.50747155     8.2789     860.5  22.3721    2.542   0.866  5518 4.511    0.96348 0.026900  119.79      8.4      0.671
001572948-01 001572948 01   3.00327237 131.99569584    12.2397     315.7   2.2560    3.705   1.768  6606 4.071    0.04495 0.019205    4.74     12.3   2639.432
001573094-01 001573094 01 457.81512904 565.01272382     8.3931     964.9  10.6232    2.695   0.852  5339 4.482    1.08090 0.028986  292.75      8.5      0.452
001573138-01 001573138 01 471.26285148 234.12208628    21.2505    1218.2   7.1392    9.657   2.871  4838 3.486    1.15317 0.030825  517.72      5.5      3.042
001573138-02 001573138 02 338.11651836 350.35891132    19.2335    1250.6   2.4171   10.730   2.871  4838 3.486    0.92419 0.034250  845.96      8.9      4.737
001573138-03 001573138 03 374.84545149 458.67838743    12.3886     791.1   4.1490    8.727   2.871  4838 3.486    0.98997 0.027857  499.51      5.3      4.128
001573138-04 001573138 04 460.79254250 162.26699768    13.5786    1029.1  60.8369    8.862   2.871  4838 3.486    1.13603 0.028286   59.50      3.4      3.135
001573174-01 001573174 01   0.83293680 132.31639151    15.9889     374.1   2.8740    4.475   1.960  7159 4.035    0.01992 0.020922    1.37     11.5  22785.494
001573174-02 001573174 02   0.83314023 132.05803879    10.7180       0.5   0.8691    0.147   1.960  7159 4.035    0.01992 0.000689    5.37      0.0  22778.076
001573174-03 001573174 03   0.83299302 131.86327704     9.3433     533.6   3.0000    4.587   1.960  7159 4.035    0.01992 0.021447    2.24     -1.0  22783.443
001574792-01 001574792 01   2.78457335 133.21182348     8.0055       8.2  17.1862    0.484   1.623  6818 4.165    0.04339 0.002733    1.29      3.3   2708.464
001574792-02 001574792 02  55.06044833 136.93987061    10.2768     224.4   9.2433    4.757   1.623  6818 4.165    0.31730 0.026859   10.67      9.6     50.654
001574792-03 001574792 03 108.89618851 225.82031749    10.2524     210.9   8.1531    2.701   1.623  6818 4.165    0.49994 0.015249   52.17     10.0     20.404
001574792-04 001574792 04 224.18369671 329.64628190    10.6062     274.9   2.9026    3.060   1.623  6818 4.165    0.80906 0.017279  318.04      9.9      7.791
001574792-05 001574792 05  51.94076580 167.10284975     9.5195     243.8   5.0000    2.556   1.623  6818 4.165    0.30520 0.014435   80.12     -1.0     54.751
001574792-06 001574792 06  68.58544390 183.56170478     8.9179     141.2  14.4905    2.094   1.623  6818 4.165    0.36734 0.011825   24.45      7.4     37.794
001574792-07 001574792 07  85.68856000 138.60611352     8.6062     172.4  21.8981    2.254   1.623  6818 4.165    0.42611 0.012724   23.38      8.6     28.087
001574792-08 001574792 08  38.57787517 146.58531326     8.7189     205.8   2.6631    2.639   1.623  6818 4.165    0.25030 0.014900   60.14     10.2     81.399
001574792-09 001574792 09  91.07755734 215.00663418     8.7177     184.0   6.4943    2.408   1.623  6818 4.165    0.44380 0.013596   69.97      7.4     25.893
001574792-10 001574792 10  85.26336100 165.96602617     8.2608     252.2   2.6474    2.962   1.623  6818 4.165    0.42470 0.016726  125.19      8.6     28.274
001575977-01 001575977 01   0.83887258 131.67715473     9.3362      90.2   1.7684    1.898   1.727  7263 4.123    0.01968 0.010072    1.94      7.5  19199.596
001576115-01 001576115 01   0.97016064 131.63107822    14.4872     171.3   5.3679    2.662   1.996  8254 4.083    0.02316 0.012223    1.49      9.1  30893.542
001576115-02 001576115 02   0.97017743 131.97813019    18.2566     391.7   1.2953    4.620   1.996  8254 4.083    0.02316 0.021212    2.92     18.5  30892.829
