tce,keep,onEB,onCum,onOther
003228918-01,True,False,False,False
003230227-01,False,True,True,False
003230578-01,False,True,True,False
003230578-02,False,True,True,False
003230578-03,False,True,True,False
003230884-01,True,False,False,False
003230948-01,True,False,False,False
003231120-01,False,True,True,False
003231137-01,False,False,True,False
003231337-01,True,False,False,False
003231341-01,False,False,True,False
003231406-01,True,False,False,False
003231406-02,True,False,False,False
003231406-03,True,False,False,False
003231410-01,True,False,False,False
003231410-02,True,False,False,False
003231410-03,True,False,False,False
003231410-04,True,False,False,False
003231950-01,True,False,False,False
003232488-01,True,False,False,False
003232679-01,True,False,False,False
003232859-01,False,False,True,False
003233043-01,False,False,True,False
003233043-02,False,False,True,False
003233302-01,True,False,False,False
003238073-01,True,False,False,False
003238073-02,True,False,False,False
003238073-03,True,False,False,False
003238073-04,True,False,False,False
003238245-01,True,False,False,False
003238245-02,True,False,False,False
003238787-01,True,False,False,False
003238787-02,True,False,False,False
003239508-01,True,False,False,False
003239636-01,False,False,True,False
003240049-01,False,False,True,False
003240305-01,True,False,False,False
003240406-01,False,False,True,False
003240556-01,True,False,False,False
003240556-02,True,False,False,False
003240556-03,True,False,False,False
003240667-01,True,False,False,False
003240667-02,True,False,False,False
003240667-03,True,False,False,False
003240667-04,True,False,False,False
003240976-01,False,True,False,False
003241199-01,True,False,False,False
003241199-02,True,False,False,False
003241344-01,False,True,True,False
003241517-01,True,False,False,False
003241604-01,False,False,True,False
003241685-01,True,False,False,False
003241685-02,True,False,False,False
003241685-03,True,False,False,False
003241685-04,True,False,False,False
003245372-01,True,False,False,False
003245420-01,True,False,False,False
003245458-01,True,False,False,False
003245638-01,True,False,False,False
003245661-01,False,False,False,False
003245661-02,False,False,False,False
003245661-03,False,False,False,False
003246083-01,True,False,False,False
003246083-02,True,False,False,False
003246083-03,True,False,False,False
003246083-04,True,False,False,False
003246083-05,True,False,False,False
003246083-06,True,False,False,False
003246083-07,True,False,False,False
003246460-01,True,False,False,False
003246460-02,True,False,False,False
003246782-01,True,False,False,False
003246782-02,True,False,False,False
003246867-01,True,False,False,False
003246867-02,True,False,False,False
003246890-01,True,False,False,False
003246890-02,True,False,False,False
003246890-03,True,False,False,False
003246890-04,True,False,False,False
003246890-05,True,False,False,False
003246890-06,True,False,False,False
003246913-01,True,False,False,False
003246984-01,False,False,True,False
003246984-02,False,False,True,False
003246984-03,False,False,True,False
003246984-04,False,False,True,False
003247039-01,True,False,False,False
003247268-01,False,False,True,False
003247306-01,True,False,False,False
003247616-01,True,False,False,False
003247777-02,True,False,False,False
003248033-01,False,False,True,False
003248033-02,False,False,True,False
003248033-03,False,False,True,False
003248033-04,False,False,True,False
003248033-05,False,False,True,False
003248332-01,False,True,True,False
003248332-02,False,True,True,False
003248332-03,False,True,True,False
003248332-04,False,True,True,False
003248332-05,False,True,True,False
003323168-01,True,False,False,False
003323168-02,True,False,False,False
003323168-03,True,False,False,False
003323289-01,False,True,True,False
003323665-01,True,False,False,False
003323887-01,False,False,True,False
003324644-01,False,False,True,False
003326377-01,False,False,True,False
003326377-02,False,False,True,False
003326428-01,True,False,False,False
003326428-02,True,False,False,False
003326428-03,True,False,False,False
003326917-01,True,False,False,False
003326917-02,True,False,False,False
003326917-03,True,False,False,False
003327992-01,False,False,True,False
003329187-01,True,False,False,False
003329187-02,True,False,False,False
003329187-03,True,False,False,False
003329643-01,False,False,True,False
003330631-01,True,False,False,False
003330688-01,True,False,False,False
003330688-02,True,False,False,False
003330688-03,True,False,False,False
003330688-04,True,False,False,False
003330688-05,True,False,False,False
003330688-06,True,False,False,False
003331147-01,True,False,False,False
003335462-01,True,False,False,False
003335813-01,False,False,True,False
003336283-01,False,False,True,False
003337002-01,True,False,False,False
003337002-02,True,False,False,False
003337002-03,True,False,False,False
003337061-01,False,False,True,False
003337111-01,True,False,False,False
003337351-01,False,False,True,False
003337888-01,True,False,False,False
003338608-01,True,False,False,False
003338608-02,True,False,False,False
